date,V_usd,ret_pct_from_t0,drawdown_pct
2023-05-17,105001.10548814638,5.001105488146385,-1.611908077678581
2023-05-18,105062.68553589575,5.062685535895772,-1.554206367107247
2023-05-19,105312.62066844323,5.312620668443246,-1.3200122538036152
2023-05-22,105962.70793792153,5.962707937921552,-0.7108677526137419
2023-05-23,103602.2418768817,3.6022418768817177,-2.922670673291794
2023-05-24,103697.15117907141,3.697151179071434,-2.8337387986728246
2023-05-25,103134.20152030626,3.134201520306279,-3.361233652338702
2023-05-26,103585.19830060058,3.5851983006006005,-2.9386408380061235
2023-05-29,103585.19830060058,3.5851983006006005,-2.9386408380061235
2023-05-30,103083.9045917278,3.083904591727804,-3.408362859306402
2023-05-31,103719.71046364696,3.7197104636469636,-2.8126003072807326
2023-06-01,104399.13319927677,4.3991331992767835,-2.1759678998742538
2023-06-02,105763.81527707915,5.763815277079165,-0.8972340704411663
2023-06-05,106234.18441520838,6.234184415208399,-0.45648897747729844
2023-06-06,105976.50873752909,5.976508737529107,-0.6979361331409972
2023-06-07,105010.23508583677,5.010235085836778,-1.6033534658713933
2023-06-08,105951.93009885403,5.951930098854041,-0.7209667988663182
2023-06-09,105862.74846196831,5.862748461968326,-0.8045317389391293
2023-06-12,106491.68330201633,6.491683302016349,-0.21520747832187714
2023-06-13,107630.14012009991,7.630140120099926,0.0
2023-06-14,108391.85522459018,8.391855224590206,0.0
2023-06-15,110134.50935672518,10.134509356725196,0.0
2023-06-16,110229.14021554438,10.229140215544398,0.0
2023-06-19,110229.14021554438,10.229140215544398,0.0
2023-06-20,109089.73066439082,9.08973066439085,-1.033673626525189
2023-06-21,108694.20304395114,8.694203043951166,-1.3924967287160084
2023-06-22,109353.06857552021,9.35306857552023,-0.794773177320518
2023-06-23,108814.87963388243,8.814879633882455,-1.2830187905815804
2023-06-26,108639.81283027964,8.63981283027966,-1.4418395917422
2023-06-27,109350.97216957297,9.35097216957299,-0.7966750391540933
2023-06-28,109584.03157480728,9.584031574807295,-0.5852432845576461
2023-06-29,110283.18927726801,10.283189277268034,0.0
2023-06-30,111564.78508741941,11.564785087419427,0.0
2023-07-03,110334.6509948699,10.334650994869921,-1.1026186189357245
2023-07-04,110334.6509948699,10.334650994869921,-1.1026186189357245
2023-07-05,110375.10305072211,10.375103050722135,-1.0663598157474974
2023-07-06,109602.4011184333,9.602401118433313,-1.7589636079596516
2023-07-07,108735.40805075654,8.735408050756543,-2.5360843338207872
2023-07-10,109651.57201492859,9.651572014928611,-1.7148897575446131
2023-07-11,110237.12444450964,10.23712444450966,-1.1900355850364863
2023-07-12,109598.61296583859,9.598612965838615,-1.7623590813536483
2023-07-13,110336.69031429752,10.336690314297536,-1.1007906949846102
2023-07-14,110390.40037935127,10.390400379351284,-1.0526482053883957
2023-07-17,111342.92607183612,11.342926071836136,-0.1988611508635496
2023-07-18,111222.09571487214,11.222095714872161,-0.30716625526482355
2023-07-19,110837.48015602402,10.837480156024037,-0.6519126360755356
2023-07-20,111300.23824092367,11.300238240923699,-0.23712396908078803
2023-07-21,112091.68230838556,12.091682308385575,0.0
2023-07-24,111653.77834891193,11.653778348911947,-0.3906658821203779
2023-07-25,111660.68503504683,11.660685035046846,-0.3845042419409639
2023-07-26,111208.43949795964,11.208439497959667,-0.7879646305922527
2023-07-27,108009.66031263936,8.009660312639365,-3.641681444762135
2023-07-28,108561.40833587426,8.561408335874287,-3.149452216087578
2023-07-31,107914.84913396054,7.914849133960544,-3.7262650434077282
2023-08-01,107908.3987621921,7.908398762192115,-3.7320195932865508
2023-08-02,106942.44535394455,6.942445353944571,-4.593772569381615
2023-08-03,106213.42855359174,6.213428553591749,-5.244148034661144
2023-08-04,104229.91484724196,4.229914847241978,-7.013693879189331
2023-08-07,104769.15953778115,4.769159537781165,-6.53261920938858
2023-08-08,104265.8818898701,4.265881889870116,-6.981606714568878
2023-08-09,104139.56761784371,4.139567617843731,-7.094295068802747
2023-08-10,104676.84186343671,4.6768418634367315,-6.614978285854612
2023-08-11,105282.7270483617,5.282727048361724,-6.074451841387408
2023-08-14,106156.1251547825,6.156125154782499,-5.29526993561682
2023-08-15,105404.5626427341,5.404562642734123,-5.965759035763163
2023-08-16,104583.35586829411,4.583355868294126,-6.698379652679865
